FA,AR,CH,WA,RO,WI,WWRN,WWRS,SH,OR,CL
250,0.25,4.0,1.57,2.74,5.77,90,90,0.0,270,189.4645
200,0.66,3.0,1.77,2.67,2.66,10,10,3.0,0,89.72392352
200,0.66,3.5,2.5,2.74,5.77,50,90,0.5,270,194.374954
150,0.5,2.5,2.65,0.43,1.76,10,10,2.0,0,75.35826553
200,1.0,2.5,0.34,0.29,1.76,10,10,1.0,90,70.16688465
200,0.33,4.0,1.57,2.74,4.23,70,90,0.0,90,165.6749572
250,0.66,2.5,1.57,2.67,2.66,10,10,2.0,90,88.47840008
250,1.0,3.5,1.77,2.74,2.66,70,50,0.0,90,180.2971256
250,0.33,2.5,1.77,0.29,1.76,10,10,1.0,180,73.07926429
150,0.33,2.5,1.57,2.74,1.76,10,10,0.0,90,77.79572179
200,0.25,2.5,0.86,0.43,4.23,30,30,2.0,180,76.30076386
250,1.0,3.5,1.77,0.2,2.66,90,70,0.0,90,201.7625677
250,0.5,3.0,1.24,0.49,4.23,50,50,1.0,30,104.5950837
200,0.25,2.5,2.65,2.67,1.76,10,10,0.5,180,76.38097144
250,1.0,3.0,0.97,2.67,2.66,10,50,0.0,180,113.9396731
250,0.66,2.5,1.57,0.2,1.76,30,30,1.0,0,89.38624406
200,0.25,2.5,0.29,2.67,1.76,10,10,2.0,180,68.76322059
250,0.5,4.0,1.77,2.67,4.23,70,90,0.0,0,169.8013744
200,0.33,4.0,2.5,1.72,4.23,90,70,0.5,270,148.0608522
200,0.25,4.0,1.77,2.67,5.77,70,90,0.0,0,151.008661
250,0.25,2.5,2.5,2.74,1.76,30,10,4.0,0,77.55188249
200,1.0,3.5,2.5,1.72,2.66,50,70,0.0,0,150.180339
200,0.5,3.5,2.5,0.2,2.66,70,10,0.5,90,107.7953293
150,1.0,2.5,0.29,0.2,2.66,10,10,3.0,90,68.70316321
150,0.25,3.0,2.65,0.43,1.76,10,10,4.0,90,76.16805238
250,0.5,3.5,2.65,2.67,4.23,70,50,0.0,180,140.2857806
150,0.25,2.5,1.57,2.67,1.76,50,30,0.5,0,78.63111472
150,0.33,2.5,0.29,2.74,2.66,10,10,0.5,180,70.16579075
250,0.25,3.5,0.74,0.43,2.66,30,70,0.0,0,107.2659133
150,1.0,3.0,1.57,2.74,1.76,30,30,0.5,90,96.99164464
250,0.25,3.0,1.77,1.72,4.23,90,90,0.0,90,143.5571523
200,0.33,2.5,1.77,2.74,1.76,10,30,0.5,0,78.265912
250,0.25,3.0,1.77,0.29,1.76,10,30,4.0,0,76.31165321
200,1.0,3.0,0.34,0.2,4.23,50,70,3.0,180,105.0465
150,0.25,3.5,1.57,1.72,2.66,10,30,0.5,180,83.21574823
150,0.66,3.5,1.57,1.72,2.66,30,70,0.0,0,138.7474393
250,1.0,3.0,0.74,2.74,4.23,70,70,0.0,0,157.5369246
250,0.5,3.0,2.65,0.2,2.66,10,10,0.5,0,84.4748963
150,0.25,3.0,1.77,2.67,2.66,50,10,0.0,0,88.44973879
200,1.0,3.0,1.57,1.72,1.76,70,30,0.5,0,101.2675568
150,0.66,2.5,1.57,2.67,1.76,90,10,0.0,90,105.1339469
150,0.5,4.0,1.77,1.72,2.66,10,50,0.0,90,116.124527
200,0.5,3.5,2.5,1.72,4.23,90,70,0.0,270,168.1434203
200,0.25,3.0,0.29,2.67,1.76,10,10,0.5,180,70.72329946
200,0.25,3.0,1.77,1.72,2.66,10,30,1.0,90,83.58676691
200,0.5,4.0,2.5,1.72,2.66,70,90,0.0,270,178.825087
200,1.0,3.0,1.77,1.72,5.77,70,50,0.0,270,171.6411504
200,0.5,3.0,0.74,2.74,2.66,30,70,0.5,0,101.8889738
200,0.25,2.5,0.29,1.72,2.66,50,10,2.0,90,75.79465402
250,0.5,3.0,1.77,2.67,5.77,50,70,0.0,0,138.5609942
150,0.66,3.5,1.57,2.67,2.66,50,30,0.5,0,114.6745975
200,0.5,2.5,0.74,0.29,2.66,10,10,0.5,180,71.11377553
150,0.66,3.5,2.5,1.72,1.76,30,10,0.0,0,105.7652079
200,0.5,2.5,2.5,2.74,1.76,30,30,0.5,90,88.67392403
150,0.25,3.0,2.5,2.67,5.77,20,30,0.5,0,87.46583196
200,0.25,3.0,2.65,2.74,1.76,10,10,0.5,0,79.6837858
200,0.33,3.5,1.57,2.74,2.66,30,10,0.0,0,92.45089655
200,1.0,4.0,1.57,2.74,5.77,30,90,0.0,270,207.9044616
250,0.5,2.5,0.34,1.72,2.66,30,50,0.5,90,94.75219836
200,0.66,2.9,0.29,0.2,1.76,10,10,4.0,0,70.23029288
250,0.33,3.0,2.5,0.29,1.76,10,10,3.0,180,78.23521651
200,0.33,4.0,0.29,1.72,4.23,70,70,0.0,270,154.0878509
150,0.66,3.4,0.29,0.2,1.76,10,10,4.0,0,71.03003964
200,0.5,3.0,2.5,2.67,1.76,10,10,0.5,0,83.99314121
250,0.25,2.5,0.34,2.67,2.66,10,10,1.0,0,70.64710044
150,0.25,4.0,1.57,2.67,1.76,30,10,0.5,0,83.65351606
150,0.5,3.5,1.57,1.72,4.23,50,10,0.5,0,94.31159264
150,0.66,2.5,1.57,1.72,4.23,30,30,2.0,90,92.73826501
200,0.33,3.0,0.34,2.74,2.66,10,10,0.0,0,75.72313683
200,0.33,3.6,2.65,2.74,5.77,90,90,0.0,270,179.5073648
250,0.66,2.5,1.57,0.43,1.76,30,10,0.5,0,86.99314787
150,0.25,3.0,1.77,1.72,4.23,30,10,0.0,90,88.24683994
250,0.33,2.5,1.57,0.2,1.76,10,10,1.0,180,71.92877973
250,0.5,2.5,0.86,0.2,4.23,70,30,0.0,180,104.6999306
250,0.25,3.0,1.57,0.2,1.76,10,10,1.0,90,75.08603429
250,0.33,3.0,1.57,0.29,2.66,10,10,2.0,0,76.3743854
200,0.33,3.0,1.57,2.67,4.23,70,90,0.0,270,140.198785
200,1.0,2.5,1.57,1.72,1.76,30,90,0.0,0,110.5183788
250,1.0,3.0,2.65,2.67,2.66,10,10,3.0,0,93.52742108
200,0.33,3.0,1.57,2.67,2.66,30,10,3.0,180,81.2275979
150,0.66,2.5,2.5,1.72,1.76,10,10,1.0,0,84.09502942
250,0.25,3.0,2.65,2.67,1.76,10,30,4.0,90,83.36206812
250,1.0,2.5,0.29,1.72,1.76,10,10,3.0,90,72.74045952
250,0.33,2.5,1.77,0.2,1.76,10,10,2.0,0,72.35344889
150,1.0,3.0,1.24,0.49,4.23,50,50,1.2,90,111.1964382
250,0.33,3.5,2.5,2.74,2.66,50,50,0.5,0,109.2379317
