FA,AR,CH,WA,RO,WI,WWRN,WWRS,SH,OR,CL
200,0.5,2.5,1.77,2.67,2.66,10,10,3.0,90,79.24180008
250,0.5,2.5,0.29,2.67,2.66,10,10,0.5,90,74.11312423
150,0.66,3.0,1.77,1.72,2.66,10,50,0.5,90,111.633521
250,1.0,3.0,0.34,0.2,1.76,10,10,2.0,90,72.61161277
200,1.0,3.0,2.5,2.67,2.66,10,10,0.5,90,96.52494942
150,0.25,3.0,1.57,2.67,1.76,50,50,0.5,90,84.57406665
250,0.25,2.5,2.5,0.2,1.76,10,10,2.0,270,74.81450498
150,0.66,2.5,1.57,2.67,1.76,30,10,3.0,0,82.03537281
200,0.66,3.1,2.65,2.74,5.77,90,90,0.0,270,230.6774321
250,0.33,2.5,2.5,1.72,1.76,30,10,0.5,180,80.08917778
150,0.5,3.0,1.77,2.74,1.76,50,10,1.0,0,84.03158285
250,0.33,3.0,2.5,0.29,4.23,50,50,0.0,0,111.0730812
200,0.5,4.0,2.5,1.72,5.77,50,70,0.0,180,156.6219652
250,0.5,2.5,1.57,2.74,1.76,10,10,3.0,90,78.65505893
200,0.66,3.0,2.65,2.67,4.23,90,90,0.0,90,206.2757592
200,0.5,4.0,0.34,1.72,1.76,90,90,0.0,0,139.0988947
150,1.0,2.5,1.57,2.74,2.66,10,10,0.0,180,84.97003077
150,0.5,3.0,1.57,2.67,2.66,30,10,0.5,180,84.05114783
200,0.5,3.5,0.74,0.29,4.23,50,70,0.0,0,128.5675712
200,0.25,2.5,1.77,1.72,2.66,30,30,0.0,90,90.15032686
150,0.66,3.0,2.65,2.67,2.66,30,70,0.0,0,131.4209614
200,0.25,3.0,1.77,2.74,1.76,30,10,1.0,0,79.09083928
200,0.25,3.5,2.5,2.67,4.23,90,90,0.5,90,134.702852
200,0.33,2.5,0.29,2.74,1.76,30,10,1.0,270,73.1963493
250,0.25,2.5,0.29,0.2,1.76,10,10,4.0,255,65.29973434
150,1.0,3.0,1.57,2.67,1.76,50,90,0.0,0,119.9834277
250,1.0,3.0,0.29,2.74,1.76,30,30,3.0,0,85.16337603
200,1.0,2.5,1.57,2.67,2.66,70,90,0.0,90,156.8726493
250,0.25,2.5,1.57,0.2,4.23,10,70,2.0,180,81.46185766
200,0.66,3.0,0.74,0.2,4.23,70,30,0.5,90,124.5686397
150,0.5,2.5,0.29,0.43,1.76,10,10,3.0,90,66.76137958
200,1.0,3.5,1.57,1.72,5.77,90,90,0.0,0,200.1336118
250,0.25,4.0,1.57,1.72,5.77,50,50,0.0,90,144.4004885
150,0.25,2.5,1.77,2.74,2.66,10,50,0.5,0,80.42044709
200,0.25,3.0,2.65,2.74,1.76,10,10,0.0,0,81.96521646
250,0.66,3.5,1.57,2.67,4.23,90,90,0.5,90,206.6332609
150,1.0,3.0,2.5,2.67,2.66,30,10,0.0,90,108.7856787
250,0.25,2.5,2.65,2.67,1.76,10,10,1.0,0,77.2005926
200,0.5,3.0,0.34,2.67,2.66,10,10,0.0,0,77.95171468
250,0.66,2.5,2.5,1.72,1.76,30,10,3.0,90,92.73322243
200,1.0,4.0,1.57,2.67,5.77,90,90,0.0,90,251.4776258
200,0.25,3.1,1.24,0.49,4.23,50,50,1.0,90,97.39186152
200,0.66,2.5,1.77,2.74,1.76,30,10,0.5,0,88.30239216
200,0.66,4.0,1.77,2.67,5.77,50,70,0.5,180,175.0289077
200,1.0,3.5,1.77,2.74,1.76,30,90,0.0,90,148.1529353
200,0.5,3.0,0.29,1.72,2.66,90,70,0.0,90,145.6034054
200,0.5,3.5,0.34,0.2,2.66,50,70,0.0,180,123.1258764
150,0.25,3.0,2.5,2.67,2.66,10,30,0.0,0,85.5925723
150,1.0,2.5,0.74,0.2,1.76,10,10,3.0,90,70.9325535
250,0.66,4.0,2.5,0.2,5.77,70,90,0.0,180,236.9197274
250,0.33,3.0,1.57,2.67,2.66,50,30,0.0,0,103.0365844
200,0.33,3.0,1.57,1.72,4.23,30,90,0.0,90,123.8966246
200,0.33,2.5,1.77,1.72,2.66,10,30,2.0,0,78.1441425
250,0.66,2.5,2.65,2.74,2.66,30,30,4.0,0,96.36828605
250,1.0,2.5,1.57,0.2,1.76,10,10,4.0,0,77.7355
200,0.5,4.0,1.57,1.72,4.23,70,70,0.0,270,172.0982283
200,0.5,3.5,0.29,0.2,1.76,10,30,0.5,0,77.30306909
200,0.33,3.0,1.77,1.72,2.66,50,10,0.5,0,87.01549101
200,0.25,2.5,0.34,2.67,1.76,10,30,0.0,0,74.55194493
150,0.5,3.5,1.57,2.74,1.76,10,30,0.5,90,89.97361951
250,0.5,2.5,1.57,0.29,1.76,10,30,0.5,0,78.75243287
200,1.0,2.5,2.65,2.67,1.76,10,30,3.0,90,88.43868931
150,0.5,2.5,0.29,0.2,1.76,30,10,4.0,0,67.5542
200,0.66,2.5,0.29,0.2,1.76,10,10,4.0,90,69.0214
250,1.0,3.0,1.24,0.49,4.23,50,50,1.0,0,114.2517
150,0.5,3.0,1.24,0.49,5.77,50,50,1.0,90,106.5017
250,0.66,3.0,2.5,0.2,4.23,70,50,0.0,90,179.3517242
250,0.25,3.0,1.77,1.72,2.66,10,30,2.0,90,83.6983127
200,0.25,3.0,0.29,2.74,1.76,10,10,2.0,90,70.98298917
200,0.66,3.0,1.57,0.29,1.76,50,10,0.5,0,93.98661872
250,0.66,2.5,0.34,0.49,4.23,50,50,0.0,180,128.7932239
150,0.66,3.0,1.57,2.67,4.23,10,30,0.0,0,94.10054854
200,1.0,2.5,0.34,0.29,1.76,30,10,3.0,0,71.62306774
150,1.0,2.5,2.5,2.74,1.76,10,10,0.5,0,82.96834128
200,0.66,3.0,1.24,0.49,4.23,50,50,1.7,90,119.5203452
200,0.66,4.0,1.77,2.67,5.77,90,70,0.0,180,222.1261825
200,0.33,3.0,2.5,2.74,1.76,10,30,3.0,180,81.86904121
200,0.33,3.0,0.29,0.29,1.76,50,10,0.5,90,78.02901088
200,0.33,3.0,1.57,2.67,4.23,50,70,0.0,90,125.0241502
200,0.5,4.0,1.77,2.67,5.77,90,70,0.0,90,198.6171706
150,0.66,2.5,1.77,2.67,2.66,30,30,1.0,0,91.83737216
200,0.5,2.5,2.65,2.67,1.76,50,10,1.0,0,83.54314038
250,0.66,3.0,2.65,2.74,1.76,10,30,4.0,0,97.6315629
200,0.66,2.5,1.57,1.72,1.76,30,30,0.0,90,108.1842952
200,1.0,3.0,0.34,2.74,2.66,70,70,3.0,0,108.1794224
200,0.33,2.5,1.57,2.74,1.76,10,10,0.0,0,69.20772814
150,1.0,3.5,1.57,1.72,2.66,10,70,0.5,0,113.0542753
150,0.5,2.5,2.65,1.72,2.66,10,10,1.0,270,80.75238776
150,1.0,3.0,1.57,2.67,1.76,50,10,0.5,0,90.32699998
200,0.25,2.5,0.34,0.2,2.66,50,50,0.5,0,82.5566731
150,1.0,2.5,2.65,2.74,2.66,10,10,2.0,90,85.65322414
250,0.25,3.5,1.77,1.72,4.23,90,90,0.0,0,140.2820101
150,0.33,3.0,0.29,0.29,1.76,70,30,0.5,0,81.58841058
250,0.33,2.5,0.34,0.29,1.76,10,10,1.0,90,67.19408388
250,0.66,3.5,2.65,0.29,1.76,50,70,0.0,90,170.2583898
200,0.25,3.5,1.57,2.67,2.66,10,50,0.0,0,95.49056553
200,0.33,3.0,1.57,2.67,2.66,70,70,0.0,180,116.1997766
250,0.25,2.5,1.57,2.67,1.76,30,10,2.0,0,75.81619875
250,0.33,3.0,1.57,2.74,1.76,10,10,0.0,180,81.80250016
200,0.66,2.5,2.65,1.72,1.76,50,30,0.5,0,97.93602525
150,1.0,2.5,0.34,2.67,1.76,10,10,0.0,90,77.29175042
150,0.5,2.5,0.34,0.29,1.76,10,10,1.0,90,66.97345884
150,0.66,2.5,1.57,2.67,1.76,30,30,1.0,180,86.93514762
200,0.66,2.5,1.57,1.72,2.66,10,10,0.5,0,84.98101297
150,1.0,3.0,1.77,2.67,1.76,30,50,1.0,0,94.49718295
150,0.5,2.5,1.57,1.72,1.76,70,30,0.0,0,91.32181547
250,0.33,3.5,1.57,2.67,4.23,70,90,0.0,90,160.4741634
150,0.33,2.5,0.34,0.29,1.76,10,10,4.0,90,65.63680766
150,0.66,3.0,2.5,2.74,2.66,10,30,0.0,0,106.6371654
150,1.0,3.0,1.57,2.74,1.76,10,50,0.0,0,98.43402704
250,0.66,4.0,2.65,2.74,5.77,90,90,1.8,270,216.975391
200,1.0,3.0,1.57,1.72,1.76,30,50,0.5,90,107.6565906
200,0.33,2.5,0.74,0.29,1.76,30,10,0.5,180,71.1129746
250,0.66,3.0,2.5,2.67,4.23,90,70,0.0,270,208.4038096
250,0.5,4.0,0.74,2.67,5.77,70,50,0.0,90,180.6757421
200,1.0,3.0,0.29,2.74,1.76,10,10,0.5,270,77.61186417
200,0.66,2.5,1.57,2.74,1.76,10,30,0.5,180,88.76378306
200,1.0,2.5,0.29,1.72,1.76,30,10,2.0,90,75.64430083
200,1.0,2.5,1.77,1.72,2.66,10,10,0.5,180,83.3145614
250,0.33,2.5,0.34,2.67,1.76,10,30,3.0,180,72.75781972
250,1.0,4.0,2.5,2.74,2.66,70,70,0.0,0,185.3350128
250,0.5,3.0,1.57,2.74,1.76,50,10,2.0,0,86.03820043
150,0.33,3.0,1.24,0.49,4.23,10,50,1.0,90,86.7131
200,1.0,2.5,2.5,2.67,1.76,10,10,1.0,90,87.51786069
150,1.0,2.5,0.29,2.67,2.66,10,30,2.0,0,77.80313258
200,1.0,2.5,2.5,1.72,1.76,10,30,1.0,0,86.96349244
200,0.25,3.0,0.29,2.67,1.76,10,10,0.5,0,70.7369697
200,0.66,3.0,1.57,2.74,1.76,10,10,0.0,180,93.5632116
200,0.33,3.0,2.5,1.72,5.77,70,90,0.0,180,135.5338652
250,1.0,3.5,2.5,2.67,5.77,50,90,0.0,270,220.5503554
200,0.25,2.5,1.57,2.67,1.76,10,50,0.0,180,81.54380081
150,0.25,2.5,2.5,2.74,1.76,30,10,0.0,0,79.18035176
200,0.5,3.0,0.29,2.74,2.66,10,10,2.0,90,74.43284831
250,0.33,4.0,2.5,2.67,5.77,90,90,0.0,90,201.8675011
250,0.33,3.0,1.77,2.74,1.76,50,10,0.0,0,91.29340185
200,0.5,2.5,2.65,2.74,4.23,10,10,1.0,270,84.01565804
250,0.25,3.5,1.77,0.43,4.23,50,70,0.0,0,119.5298616
200,0.5,2.5,1.77,0.29,2.66,10,10,3.0,180,74.59996953
250,0.33,2.5,1.77,1.72,1.76,10,10,0.5,0,76.03603402
250,1.0,4.0,1.77,2.67,4.23,50,90,0.0,0,191.8667549
150,0.66,2.5,1.57,1.72,4.23,10,10,0.0,0,88.14904307
250,0.25,2.5,0.29,0.2,2.66,30,10,0.5,180,70.60072105
200,0.5,2.5,0.29,0.29,2.66,30,10,4.0,0,70.84389693
250,0.33,2.5,0.34,0.2,2.66,10,30,3.0,0,71.08393176
200,0.5,4.0,0.29,2.74,5.77,90,90,0.0,270,211.6170945
150,0.66,2.5,1.57,1.72,2.66,50,10,0.0,0,80.39072067
200,0.66,3.5,0.29,2.67,2.66,70,90,0.0,0,181.7517427
200,0.66,4.0,2.65,1.72,5.77,90,70,0.0,90,257.2605579
200,0.33,4.0,2.65,2.74,5.77,90,90,2.4,270,148.5416819
200,0.25,2.5,2.5,1.72,1.76,30,10,1.0,270,78.7679389
250,0.33,2.5,1.77,2.67,1.76,10,30,2.0,180,77.98640058
200,1.0,3.0,0.86,0.49,1.76,30,30,3.0,90,86.0477
200,0.66,2.5,0.29,2.74,2.66,30,10,2.0,0,79.81347193
150,0.33,3.5,1.57,2.67,4.23,10,10,0.0,0,84.06722864
200,0.5,4.0,2.5,1.72,5.77,30,90,0.0,270,176.2840251
200,0.5,2.5,1.57,2.67,2.66,10,30,1.0,0,81.72222209
250,1.0,2.5,0.29,0.2,1.76,10,10,1.9,0,68.56797379
150,0.5,3.0,0.34,2.74,4.23,50,30,0.5,90,96.65500654
150,0.33,2.5,2.5,2.74,2.66,10,10,0.5,90,78.79318833
200,0.25,3.5,2.5,1.72,5.77,70,70,0.0,90,147.0941016
200,0.66,3.0,2.65,2.67,5.77,90,90,0.0,0,197.4183122
150,0.25,3.0,2.5,2.74,1.76,30,30,0.0,0,85.65036207
150,0.25,2.5,1.57,2.74,1.76,10,70,0.5,90,82.5706634
250,0.33,2.5,1.57,0.43,2.66,10,10,2.0,90,74.93413586
200,0.33,2.5,1.77,2.74,1.76,10,10,1.0,0,75.34117705
200,0.5,2.5,1.77,2.67,1.76,10,30,2.0,90,80.84506356
200,0.33,2.5,2.65,2.67,4.23,10,10,1.0,90,80.64890022
250,0.25,3.5,1.57,1.72,2.66,50,70,0.0,0,117.2402361
250,0.25,2.5,2.5,2.74,1.76,10,10,3.0,0,76.47547841
250,0.33,2.5,0.29,2.74,1.76,50,10,1.0,90,77.18235284
200,0.25,2.5,0.29,1.72,2.66,10,30,4.0,0,72.08741316
250,0.25,2.5,2.65,0.29,1.76,30,10,2.0,90,76.8902403
200,1.0,3.5,2.5,2.67,4.23,90,90,0.0,90,209.6985265
200,0.33,4.0,0.29,1.72,5.77,70,90,0.0,180,158.5382373
250,0.5,3.0,0.29,2.67,4.23,50,30,0.5,90,103.2401915
250,0.25,2.5,1.77,1.72,1.76,10,30,2.0,0,75.95617734
200,1.0,4.0,2.5,2.67,4.23,70,70,0.0,90,205.3928019
150,0.5,3.0,0.97,0.49,4.23,10,50,0.0,180,87.41293626
150,0.25,3.0,1.77,1.72,4.23,10,10,0.5,0,76.95422798
200,0.5,3.0,2.65,1.72,1.76,10,10,1.0,180,83.20066554
250,0.33,4.0,1.57,0.43,2.66,90,90,0.0,90,175.8113762
200,1.0,3.0,1.57,1.72,1.76,30,70,0.0,180,114.5889787
250,1.0,3.5,1.77,0.2,5.77,90,70,0.0,90,226.2979807
200,0.25,2.5,0.74,0.2,1.76,30,30,2.0,0,71.2444
150,0.66,2.5,2.65,0.2,1.76,30,30,0.5,90,93.74258887
200,0.33,3.5,1.57,1.72,5.77,30,70,0.0,90,135.4619827
200,0.66,2.5,1.57,0.29,1.76,10,30,3.0,90,83.82788049
150,0.33,2.5,2.5,2.67,1.76,30,10,4.0,0,76.49944056
200,0.33,2.5,2.65,0.43,1.76,30,30,2.0,90,79.54714524
200,1.0,2.5,2.65,2.74,1.76,50,10,3.0,0,87.40422971
150,0.66,3.5,1.57,1.72,1.76,50,30,0.0,90,127.6147235
200,1.0,3.5,2.65,2.74,5.77,70,90,0.0,270,219.0784264
200,0.33,3.0,0.29,2.74,1.76,10,10,0.5,180,71.49132376
150,0.66,3.5,1.57,1.72,2.66,30,30,0.5,90,116.2935288
150,1.0,2.5,2.65,2.67,2.66,30,10,4.0,180,85.08593174
250,0.5,3.9,1.24,0.49,4.23,50,50,1.0,90,128.4814303
250,0.25,2.5,2.65,2.74,1.76,30,10,3.0,180,77.9740389
200,0.5,3.0,0.34,2.67,1.76,10,10,2.0,0,72.52429197
150,1.0,2.5,0.34,1.72,2.66,10,10,0.0,90,79.2893866
200,0.5,4.0,2.5,1.72,2.66,70,70,0.0,180,147.380192
200,0.33,4.0,1.57,2.74,4.23,90,90,0.5,90,155.6379687
200,0.66,4.0,2.5,1.72,5.77,90,70,0.0,180,222.087975
150,0.5,3.0,2.5,2.67,5.77,50,30,3.5,0,95.40228263
200,0.25,3.0,0.74,2.74,4.23,10,10,0.5,90,76.38753299
150,1.0,2.5,1.77,1.72,1.76,30,10,1.0,0,81.32291051
250,0.25,2.5,2.65,2.67,1.76,30,10,2.0,0,78.22592185
150,0.33,2.5,1.77,2.74,2.66,50,30,0.0,0,90.37331897
250,0.5,3.0,1.57,2.67,4.23,70,30,0.0,90,132.0235919
150,0.33,3.0,0.29,1.72,1.76,10,30,0.5,90,76.04086332
250,1.0,2.5,0.34,1.72,1.76,10,10,2.0,180,72.73605127
250,0.5,4.0,2.65,1.72,4.23,90,50,0.0,180,158.3266111
200,0.66,3.0,1.57,2.67,1.76,10,30,0.0,270,109.6030906
200,1.0,3.5,1.77,2.74,5.77,30,90,0.0,0,168.7177631
200,0.5,2.5,2.5,0.43,2.66,10,10,0.5,0,78.67365216
150,0.66,3.0,1.24,0.49,4.23,50,50,1.4,90,115.1529157
250,1.0,3.0,2.5,2.67,4.23,10,10,0.0,0,102.8974819
250,1.0,2.5,0.29,0.2,1.76,10,10,4.0,360,68.16
150,0.66,2.5,1.77,1.72,1.76,30,10,2.0,0,82.63339469
200,1.0,4.0,1.77,2.67,4.23,50,90,0.0,180,178.5737709
150,1.0,3.5,1.57,1.72,4.23,30,50,0.0,180,125.7227612
150,0.66,2.5,2.65,1.72,1.76,30,10,0.5,180,87.81497928
250,0.5,4.0,1.77,2.67,4.23,70,90,0.5,180,152.0232684
200,1.0,2.5,2.65,0.2,2.66,10,10,1.0,90,85.9837
200,1.0,2.5,0.29,2.74,1.76,30,10,2.0,0,75.46201655
250,0.5,2.5,1.77,0.29,1.76,10,10,3.0,0,74.72106213
250,0.66,3.5,1.57,2.67,5.77,50,50,0.0,90,202.0791021
200,0.66,2.5,0.29,0.2,5.77,10,10,4.0,0,72.5271
250,0.5,2.5,2.5,2.67,2.66,50,10,0.0,90,105.4816303
200,0.33,3.5,1.57,1.72,1.76,10,50,0.0,90,98.62671574
200,0.25,4.0,1.77,0.29,5.77,50,50,0.0,0,124.0925676
250,1.0,3.0,0.74,1.72,1.76,10,10,3.0,90,80.63572773
250,0.33,4.0,2.65,2.74,5.77,90,90,0.3,270,187.796352
250,0.33,3.0,0.74,0.49,2.66,30,70,0.0,0,105.0063122
250,0.33,4.0,1.57,0.43,1.76,70,90,0.0,0,127.350737
150,0.5,3.0,0.29,0.43,1.76,10,30,3.0,0,71.7201197
250,0.33,3.0,2.65,2.74,2.66,70,70,0.0,0,122.2056011
250,0.5,4.0,1.57,2.67,4.23,90,90,0.0,90,203.729786
200,0.25,2.5,2.65,2.67,1.76,10,30,0.0,180,81.07572918
150,0.25,2.5,1.57,1.72,2.66,10,10,1.0,90,73.98538309
200,0.33,2.5,1.57,1.72,4.23,30,30,2.0,0,81.31970129
150,0.33,3.5,1.77,1.72,2.66,10,10,0.0,90,86.84112077
250,0.25,3.0,1.57,0.2,4.23,50,70,0.0,90,120.2969249
200,1.0,3.0,0.29,2.74,2.66,30,10,0.5,90,88.16429834
200,0.5,3.5,0.29,2.74,4.23,90,70,0.0,270,166.4432521
200,0.25,4.0,1.77,0.2,2.66,50,70,0.0,90,131.3471
200,0.33,2.5,2.65,0.29,1.76,30,10,1.0,90,78.20881789
150,0.25,2.5,0.29,1.72,2.66,10,10,2.0,0,68.64681369
250,1.0,4.0,1.77,2.67,2.66,90,70,0.0,0,194.1463798
150,0.33,3.0,2.5,2.67,1.76,50,10,0.0,0,87.99071809
150,0.66,2.5,0.29,2.74,1.76,10,30,0.5,0,78.95555818
200,1.0,2.5,1.77,2.67,1.76,50,30,1.0,0,90.1699337
250,0.25,2.5,2.5,0.43,1.76,10,30,4.0,0,75.18649336
250,0.66,3.0,2.5,0.29,4.23,70,30,0.0,0,146.54496
200,0.66,3.0,2.65,2.74,1.76,10,30,0.0,0,106.8299496
200,0.66,3.0,2.5,2.74,5.77,50,30,0.5,0,123.9691
200,0.66,3.5,1.77,2.67,2.66,30,70,0.0,180,151.5929862
200,0.5,2.5,1.77,2.74,1.76,10,10,2.0,90,78.51056425
250,0.33,2.5,2.5,0.29,1.76,10,30,0.5,180,78.3614294
150,0.66,3.5,1.57,1.72,2.66,70,30,0.5,0,120.192896
200,0.66,3.0,1.77,2.74,1.76,10,10,0.5,180,90.07039825
200,0.5,2.5,0.29,2.74,4.23,10,10,1.0,270,73.3050055
200,0.33,4.0,0.29,2.67,2.66,90,70,0.0,270,159.7299639
200,0.5,4.0,1.77,2.67,2.66,90,90,0.0,270,188.9197295
200,0.25,2.5,1.77,1.72,4.23,30,30,0.0,0,77.3996152
200,0.33,2.5,2.5,1.72,2.66,10,30,0.5,90,84.35091077
150,0.33,2.5,0.29,0.2,1.76,10,10,3.1,0,64.55487555
200,0.25,2.5,2.5,2.67,1.76,30,10,2.0,90,78.28353501
150,0.66,3.0,1.77,1.72,1.76,30,10,0.0,90,102.9861213
200,1.0,2.5,2.5,0.29,1.76,10,10,0.5,180,82.4761309
200,0.25,4.0,1.57,1.72,5.77,70,70,0.5,180,129.670871
200,0.25,3.5,2.5,2.67,5.77,90,90,0.0,270,165.2868307
200,0.66,3.0,1.77,2.67,5.77,90,50,0.0,270,197.7066322
250,0.25,2.5,1.57,1.72,4.23,30,10,1.0,180,78.18858187
250,0.25,3.0,2.65,2.67,1.76,10,30,2.0,0,82.19133051
150,0.66,2.5,2.5,2.67,2.66,30,50,0.0,90,124.1599437
250,0.66,4.0,1.57,2.67,5.77,90,90,0.5,0,216.6702282
150,0.66,2.5,1.77,1.72,1.76,70,30,1.0,0,91.98252752
250,0.5,3.0,2.65,2.67,4.23,90,50,0.0,180,135.2585758
200,0.5,3.5,0.34,0.2,2.66,70,70,0.0,0,131.203444
150,0.5,3.5,1.57,2.67,2.66,30,30,0.0,90,108.9380415
250,0.33,2.5,0.29,0.2,1.76,10,30,1.0,180,69.52086137
250,0.25,3.5,2.5,2.67,2.66,50,90,0.0,90,139.122737
200,0.33,3.0,0.74,0.29,1.76,10,30,3.0,0,73.0019695
150,0.33,2.5,2.5,2.67,1.76,10,10,0.5,0,74.100179
150,1.0,3.5,2.65,2.74,1.76,10,10,2.0,90,94.50227118
200,0.5,4.0,0.34,2.74,5.77,50,90,0.0,90,184.7122079
150,0.66,3.0,1.77,0.2,1.76,10,30,0.0,0,94.43493179
200,0.25,3.5,1.57,1.72,5.77,90,50,0.5,0,118.4200222
200,0.66,2.5,0.29,0.2,1.76,10,10,3.5,0,68.4475964
250,0.66,2.5,0.29,2.67,2.66,10,10,2.0,0,76.14516524
200,1.0,2.5,0.29,0.2,1.76,10,10,4.0,255,68.08927516
250,0.25,4.0,2.5,2.67,4.23,10,50,0.0,0,109.0608199
150,0.5,4.0,1.57,1.72,2.66,50,10,0.0,90,114.4168051
150,0.5,2.5,2.5,2.67,2.66,30,10,3.0,0,80.39156417
200,0.25,3.0,1.57,1.72,4.23,90,70,0.0,0,118.6633442
250,0.25,2.5,2.5,2.74,1.76,10,10,4.0,90,77.6635638
250,0.25,3.5,1.77,1.72,4.23,70,90,0.0,90,149.8402639
150,0.33,3.0,1.57,1.72,2.66,10,10,1.0,0,76.71442203
250,0.66,2.5,2.5,2.74,1.76,30,10,0.5,0,94.13630591
150,1.0,2.5,2.65,2.67,2.66,30,10,4.0,0,85.09879168
250,0.25,3.5,2.5,0.29,4.23,50,30,0.5,90,105.1174267
200,0.25,2.5,1.57,1.72,1.76,10,50,2.0,180,76.13999436
200,0.5,2.5,1.77,2.67,1.76,10,30,2.0,0,79.15726241
250,0.25,3.5,1.57,1.72,2.66,30,50,0.0,0,104.4800397
200,0.33,3.0,1.24,0.49,4.23,50,50,3.8,90,92.18136121
250,0.66,3.5,1.77,2.74,5.77,90,70,0.0,90,249.9184299
150,0.33,3.0,2.5,2.74,1.76,30,50,1.0,0,85.46963421
200,0.66,2.5,1.77,1.72,2.66,30,10,0.0,270,107.6135345
200,0.5,2.5,0.34,2.67,2.66,10,30,0.5,0,78.11427071
200,0.33,3.5,1.77,2.74,5.77,90,90,0.0,270,176.2328402
250,1.0,3.5,1.77,2.74,2.66,50,50,0.0,90,168.0309068
200,0.66,2.5,1.77,1.72,1.76,30,30,2.0,0,88.15793592
200,0.25,2.5,2.65,2.74,1.76,30,10,3.0,0,76.94385524
250,0.5,2.7,2.5,2.67,5.77,50,30,0.5,0,103.1288694
150,1.0,3.0,2.5,1.72,2.66,10,10,1.0,0,87.6914123
250,0.5,3.0,2.5,0.2,2.66,10,10,0.5,0,83.90632701
200,0.33,4.0,2.5,2.74,5.77,70,90,0.0,90,181.4197506
150,1.0,3.0,1.57,1.72,4.23,10,30,0.0,0,99.08512218
150,0.66,2.5,2.5,2.74,1.76,10,30,0.0,90,100.9303877
200,0.5,4.0,2.5,1.72,5.77,50,70,0.0,0,156.7281341
250,0.5,3.0,0.34,1.72,2.66,50,90,0.5,90,127.468678
250,0.33,2.5,2.65,0.2,1.76,10,10,3.0,0,74.79490078
200,0.25,3.5,1.57,2.67,5.77,70,70,0.0,180,132.4585574
150,0.66,3.0,1.57,1.72,5.77,50,30,0.5,0,113.9326449
250,0.66,2.5,2.5,1.72,1.76,10,10,3.0,270,91.38641926
200,0.5,3.5,0.29,2.74,1.76,30,10,0.5,90,82.70602906
250,0.33,3.5,1.57,0.29,2.66,30,90,0.0,90,135.1438149
200,1.0,4.0,1.57,1.72,5.77,70,50,0.0,180,179.6064862
150,0.5,2.5,1.57,1.72,1.76,50,50,0.0,0,91.38409661
250,0.33,3.5,1.57,1.72,4.23,50,50,0.0,90,132.2800401
250,0.5,4.0,1.57,1.72,5.77,50,50,0.0,0,151.078726
250,0.66,4.0,1.77,1.72,2.66,90,70,0.5,90,209.0562679
150,0.66,3.0,1.24,0.49,4.23,50,50,1.0,315,114.0445
200,0.5,3.5,1.77,1.72,2.66,70,70,0.5,270,136.0281788
200,0.5,3.5,0.34,1.72,1.76,70,70,0.0,0,117.256619
150,0.33,3.0,0.86,0.2,1.76,30,50,1.0,0,78.87993668
250,0.25,3.5,1.77,2.67,4.23,70,70,0.0,270,143.2918763
250,0.5,3.0,1.77,1.72,1.76,50,70,0.5,90,110.4167862
200,1.0,4.0,1.57,2.67,1.76,50,50,0.0,0,131.8188166
200,1.0,3.0,1.24,0.49,4.23,50,50,3.8,90,104.6457346
200,0.66,2.5,1.57,2.74,1.76,50,10,3.0,90,88.89354663
250,0.25,3.5,2.5,0.29,4.23,30,30,0.0,90,108.3066596
250,0.5,3.0,2.5,2.67,5.77,30,30,0.5,0,102.9123
250,0.66,2.9,0.29,0.2,1.76,10,10,4.0,0,71.20367727
200,0.66,3.5,2.65,2.67,4.23,70,90,0.0,90,217.6379523
150,0.33,3.0,2.5,1.72,4.23,30,50,0.0,90,106.3537674
200,1.0,2.5,2.5,2.74,1.76,30,10,2.0,180,85.95059879
150,0.5,2.5,2.65,1.72,2.66,30,30,0.5,0,85.42615229
250,0.25,4.0,1.77,1.72,5.77,90,90,0.0,0,166.1104202
200,0.5,2.5,2.65,2.74,1.76,30,10,4.0,0,80.55270577
150,0.33,3.0,0.29,1.72,4.23,50,70,0.0,90,115.4030496
150,0.33,2.5,0.74,0.43,4.23,10,10,2.0,0,69.24525482
200,0.5,4.0,0.86,2.74,4.23,50,90,0.0,0,151.1906633
200,0.66,3.0,1.57,1.72,1.76,10,30,1.0,180,92.30515877
250,0.5,2.5,0.29,1.72,1.76,10,30,2.0,90,74.6583872
150,1.0,2.5,0.34,1.72,4.23,70,10,2.0,0,84.99673591
250,1.0,4.0,1.57,2.67,1.76,50,90,0.0,90,182.6931013
200,0.25,2.5,0.29,0.2,1.76,10,10,4.0,270,65.005
250,0.5,4.0,1.77,2.74,5.77,70,70,0.0,90,197.9691911
200,0.5,2.5,0.34,2.67,2.66,50,30,3.0,0,81.92506591
200,0.5,2.5,0.29,2.74,1.76,30,30,3.0,0,75.68767311
200,0.5,2.5,0.34,0.43,2.66,10,10,4.0,270,68.99428528
250,0.66,2.5,1.57,2.67,1.76,10,10,0.0,90,96.15016149
150,1.0,3.0,2.65,0.2,1.76,10,10,4.0,90,85.1505778
250,0.25,3.5,2.5,0.29,2.66,30,30,0.0,90,106.0649937
200,1.0,3.5,1.77,2.74,2.66,70,50,0.0,270,169.8358158
200,0.66,3.0,1.77,2.67,2.66,10,30,2.0,0,96.12456509
200,0.33,4.0,2.65,2.74,5.77,50,90,0.0,90,171.0809632
